File,Time_Sec,GPU_Util,RAM_Usage_MB,Power_W,Net_Sent_Bytes,Net_Recv_Bytes,CPU_Core_0,CPU_Core_1,CPU_Core_2,CPU_Core_3,CPU_Total_Avg
EC_0179-5345-04-04-PSJ-F-04-A.wav,0.06070739799179137,99,12032,0,87587,1196,0.0,0.0,0.0,0.0,0.0
EC_0179-5345-04-04-PSJ-F-04-A.wav,1.1359191939991433,99,12031,0,280134,5148,10.3,7.5,3.8,35.8,14.35
EC_0179-5345-04-04-PSJ-F-04-A.wav,2.157910334994085,0,12031,0,4052,4762,9.9,36.9,3.9,3.9,13.649999999999999
EC_0179-5346-04-04-PSJ-F-04-A.wav,0.05818025200278498,99,12031,0,68023,1196,100.0,0.0,0.0,0.0,25.0
EC_0179-5346-04-04-PSJ-F-04-A.wav,1.1314333810005337,87,12031,0,288156,4576,8.5,34.3,8.3,9.3,15.099999999999998
EC_0179-5346-04-04-PSJ-F-04-A.wav,2.157316158001777,0,12031,0,2684,1229,3.9,24.0,34.0,8.7,17.65
EC_0179-5347-04-04-PSJ-F-04-A.wav,0.06217275798553601,99,12032,0,86265,1248,9.5,21.9,14.1,11.4,14.225
EC_0179-5347-04-04-PSJ-F-04-A.wav,1.1319521940022241,0,12046,0,174248,5300,11.2,9.3,32.7,43.9,24.275
EC_0179-5348-04-04-PSJ-F-04-A.wav,0.05958311300491914,99,12045,0,31671,572,10.5,19.4,19.0,19.5,17.1
EC_0179-5348-04-04-PSJ-F-04-A.wav,1.1329583610058762,84,12045,0,185564,3126,37.0,10.2,4.7,6.6,14.625000000000002
EC_0179-5348-04-04-PSJ-F-04-A.wav,2.1601948739844374,0,12045,0,2719,1144,12.9,14.0,18.4,7.8,13.274999999999999
EC_0179-5349-04-04-PSJ-F-04-A.wav,0.059211988002061844,99,12046,0,86199,1092,14.6,11.4,19.4,18.4,15.95
EC_0179-5349-04-04-PSJ-F-04-A.wav,1.1268827969906852,91,12046,0,261057,4719,11.1,37.7,11.3,7.5,16.900000000000002
EC_0179-5350-04-04-PSJ-F-04-A.wav,0.06803214800311252,99,12046,0,86199,1144,15.6,12.9,19.2,16.0,15.925
EC_0179-5350-04-04-PSJ-F-04-A.wav,1.1407007010129746,93,12046,0,180029,4698,14.0,30.6,51.9,11.2,26.925
EC_0179-5351-04-04-PSJ-F-04-A.wav,0.059822101989993826,99,12047,0,68023,1196,12.2,17.1,20.1,15.1,16.125
EC_0179-5351-04-04-PSJ-F-04-A.wav,1.1327101539936848,95,12047,0,369104,3952,38.3,7.5,8.3,4.7,14.7
EC_0179-5352-04-04-PSJ-F-04-A.wav,0.06699007598217577,99,12047,0,31671,572,21.3,17.8,12.9,22.7,18.675
EC_0179-5352-04-04-PSJ-F-04-A.wav,1.1424534679972567,41,12048,0,263526,6511,45.3,38.9,7.5,13.2,26.224999999999998
EC_0179-5353-04-04-PSJ-F-04-A.wav,0.0599824310047552,99,12047,0,87587,1196,16.9,18.9,19.1,15.8,17.675
EC_0179-5353-04-04-PSJ-F-04-A.wav,1.1321255459915847,96,12047,0,210574,4160,9.4,10.2,33.0,5.7,14.575000000000001
EC_0179-5353-04-04-PSJ-F-04-A.wav,2.1588645910087507,0,12047,0,2676,2087,9.8,22.8,5.9,17.2,13.925
EC_0179-5354-04-04-PSJ-F-04-A.wav,0.05953066100482829,99,12048,0,146279,1872,14.8,18.4,18.7,16.5,17.1
