File,Time_Sec,GPU_Util,RAM_Usage_MB,Power_W,Net_Sent_Bytes,Net_Recv_Bytes,CPU_Core_0,CPU_Core_1,CPU_Core_2,CPU_Core_3,CPU_Total_Avg
EC_0179-5379-04-04-PSJ-F-04-A.wav,395.9347585590149,0,4673,0,0,0,0.0,0.0,7.7,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,396.06155575602315,0,4673,0,0,0,7.7,0.0,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,396.18767435700283,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,396.3159338410187,0,4673,0,0,0,8.3,7.1,7.1,0.0,5.625
EC_0179-5379-04-04-PSJ-F-04-A.wav,396.44180449302075,0,4673,0,0,0,0.0,0.0,0.0,0.0,0.0
EC_0179-5379-04-04-PSJ-F-04-A.wav,396.56821021300857,0,4673,0,0,0,21.4,0.0,0.0,0.0,5.35
EC_0179-5379-04-04-PSJ-F-04-A.wav,396.69459586800076,0,4673,0,0,0,7.7,0.0,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,396.82179862400517,0,4673,0,0,0,15.4,0.0,0.0,0.0,3.85
EC_0179-5379-04-04-PSJ-F-04-A.wav,396.94785405302537,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,397.07390177002526,0,4673,0,0,0,15.4,7.7,0.0,0.0,5.775
EC_0179-5379-04-04-PSJ-F-04-A.wav,397.20133730600355,0,4673,0,0,0,7.7,0.0,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,397.32723829502356,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,397.45335276800324,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,397.58128519402817,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,397.7085363360238,0,4673,0,0,0,14.3,0.0,0.0,0.0,3.575
EC_0179-5379-04-04-PSJ-F-04-A.wav,397.836617538007,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,397.9623393500224,0,4673,0,0,0,21.4,0.0,0.0,0.0,5.35
EC_0179-5379-04-04-PSJ-F-04-A.wav,398.08798519000993,0,4673,0,0,0,7.7,0.0,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,398.21523374001845,0,4673,0,0,0,0.0,7.7,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,398.34229696702096,0,4673,0,0,0,0.0,0.0,0.0,7.1,1.775
EC_0179-5379-04-04-PSJ-F-04-A.wav,398.4691304860171,0,4673,0,0,0,14.3,0.0,0.0,0.0,3.575
EC_0179-5379-04-04-PSJ-F-04-A.wav,398.5974377170205,0,4673,0,0,0,15.4,0.0,0.0,0.0,3.85
EC_0179-5379-04-04-PSJ-F-04-A.wav,398.7238803990185,0,4673,0,0,0,14.3,0.0,0.0,0.0,3.575
EC_0179-5379-04-04-PSJ-F-04-A.wav,398.8517786800221,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,398.9798847150232,0,4673,0,0,0,14.3,7.1,0.0,0.0,5.35
EC_0179-5379-04-04-PSJ-F-04-A.wav,399.1060595760064,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,399.23510297300527,0,4673,0,0,0,7.7,0.0,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,399.3625618380029,0,4673,0,0,0,0.0,8.3,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,399.4913448060106,0,4673,0,0,0,0.0,20.0,0.0,0.0,5.0
EC_0179-5379-04-04-PSJ-F-04-A.wav,399.61765663401457,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,399.74488959801965,0,4673,0,0,0,0.0,7.7,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,399.87139132400625,0,4673,0,0,0,14.3,7.7,0.0,0.0,5.5
EC_0179-5379-04-04-PSJ-F-04-A.wav,399.99828766300925,0,4673,0,0,0,7.7,0.0,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,400.1261448530131,0,4673,0,0,0,0.0,7.1,0.0,0.0,1.775
EC_0179-5379-04-04-PSJ-F-04-A.wav,400.2513127150014,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,400.3774865830201,0,4673,0,0,0,15.4,0.0,0.0,0.0,3.85
EC_0179-5379-04-04-PSJ-F-04-A.wav,400.50546784402104,0,4673,0,0,0,15.4,0.0,0.0,0.0,3.85
EC_0179-5379-04-04-PSJ-F-04-A.wav,400.63173163702595,0,4673,0,0,0,7.7,0.0,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,400.75816132701584,0,4673,0,75,75,0.0,7.7,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,400.8852116900089,0,4673,0,0,0,8.3,8.3,0.0,0.0,4.15
EC_0179-5379-04-04-PSJ-F-04-A.wav,401.0112186050101,0,4673,0,0,0,14.3,0.0,0.0,0.0,3.575
EC_0179-5379-04-04-PSJ-F-04-A.wav,401.1369033270166,0,4673,0,0,0,15.4,0.0,0.0,0.0,3.85
EC_0179-5379-04-04-PSJ-F-04-A.wav,401.2629335070087,0,4673,0,0,0,8.3,7.7,0.0,0.0,4.0
EC_0179-5379-04-04-PSJ-F-04-A.wav,401.3912187520182,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,401.5179021200165,0,4673,0,0,0,7.7,0.0,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,401.645630663028,0,4673,0,0,0,15.4,0.0,0.0,0.0,3.85
EC_0179-5379-04-04-PSJ-F-04-A.wav,401.7715223720006,0,4673,0,0,0,8.3,7.7,0.0,0.0,4.0
EC_0179-5379-04-04-PSJ-F-04-A.wav,401.8999016060261,0,4673,0,0,0,7.7,0.0,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,402.0258622150286,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,402.1524643940211,0,4673,0,0,0,15.4,0.0,0.0,0.0,3.85
EC_0179-5379-04-04-PSJ-F-04-A.wav,402.2786819450266,0,4673,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5379-04-04-PSJ-F-04-A.wav,402.4045448520046,0,4673,0,0,0,15.4,0.0,0.0,0.0,3.85
EC_0179-5379-04-04-PSJ-F-04-A.wav,402.5303380280093,0,4673,0,0,0,15.4,0.0,0.0,0.0,3.85
EC_0179-5379-04-04-PSJ-F-04-A.wav,402.6553803150018,0,4673,0,0,0,7.7,0.0,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,402.78371906702523,0,4673,0,0,0,8.3,0.0,0.0,7.1,3.85
EC_0179-5379-04-04-PSJ-F-04-A.wav,402.91096873700735,0,4673,0,0,0,0.0,0.0,0.0,0.0,0.0
EC_0179-5379-04-04-PSJ-F-04-A.wav,403.03706048900494,0,4673,0,0,0,7.7,8.3,0.0,0.0,4.0
EC_0179-5379-04-04-PSJ-F-04-A.wav,403.16362125700107,0,4673,0,0,0,7.7,14.3,0.0,0.0,5.5
EC_0179-5379-04-04-PSJ-F-04-A.wav,403.2905355170078,0,4673,0,0,0,7.7,0.0,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,403.4171705940098,0,4673,0,0,0,7.7,8.3,7.1,0.0,5.775
EC_0179-5379-04-04-PSJ-F-04-A.wav,403.54375789201003,0,4673,0,0,0,7.7,7.7,0.0,0.0,3.85
EC_0179-5379-04-04-PSJ-F-04-A.wav,403.6709101170127,0,4673,0,0,0,0.0,7.7,0.0,0.0,1.925
EC_0179-5379-04-04-PSJ-F-04-A.wav,403.79850274900673,0,4673,0,0,0,7.7,7.7,0.0,0.0,3.85
EC_0179-5379-04-04-PSJ-F-04-A.wav,403.92522493502474,0,4673,0,0,0,0.0,21.4,0.0,0.0,5.35
EC_0179-5379-04-04-PSJ-F-04-A.wav,404.0521015600243,0,4673,0,0,0,0.0,0.0,0.0,0.0,0.0
